Sample	 Source	 Position	 Absorbance	 Fraction.Number
462933	74787	37.61	0.136718	-100
463565	74927	37.65	0.137753	-100
464248	74910	37.69	0.134276	-100
464228	74805	37.72	0.131494	-100
464826	74814	37.76	0.129107	-100
465354	74843	37.81	0.127577	-100
465219	74823	37.84	0.127624	-100
465352	74825	37.89	0.127093	-100
465091	74795	37.92	0.127421	-100
465504	74805	37.96	0.125878	-100
465718	74808	38	0.12502	-100
466159	74815	38.04	0.123275	-100
466303	74798	38.08	0.122178	-100
466848	74803	38.12	0.119924	-100
467158	74795	38.16	0.118347	-100
467711	74796	38.2	0.115954	-100
467701	74829	38.24	0.1169	-100
467796	74839	38.28	0.116758	-100
468231	74836	38.32	0.114774	-100
468216	74814	38.35	0.114238	-100
468534	74799	38.39	0.112439	-100
468776	74818	38.43	0.111902	-100
468848	74810	38.47	0.111369	-100
469214	74808	38.51	0.109718	-100
469487	74830	38.55	0.109129	-100
469556	74824	38.59	0.108664	-100
469815	74826	38.63	0.107591	-100
469554	74795	38.67	0.10788	-100
470429	74817	38.71	0.104672	-100
470423	74785	38.74	0.103823	-100
470661	74797	38.78	0.103117	-100
470922	74803	38.82	0.102146	-100
470892	74812	38.86	0.102523	-100
470864	74807	38.9	0.102508	-100
471301	74833	38.94	0.101321	-100
471524	74834	38.98	0.10038	-100
471662	74827	39.02	0.09959	-100
472022	74837	39.06	0.098302	-100
472174	74801	39.1	0.096659	-100
472077	74766	39.14	0.096122	6
472076	74780	39.18	0.096509	-100
472444	74805	39.22	0.095599	-100
472489	74767	39.26	0.094364	-100
472705	74776	39.29	0.093675	-100
473010	74809	39.33	0.093258	-100
473025	74794	39.37	0.092783	-100
473432	74808	39.41	0.091406	-100
473733	74817	39.45	0.090352	-100
473747	74818	39.49	0.090319	-100
473986	74845	39.53	0.090025	-100
473772	74807	39.57	0.08991	-100
474054	74816	39.61	0.088939	-100
474258	74803	39.65	0.087703	-100
474347	74782	39.69	0.086744	-100
474417	74778	39.73	0.086333	-100
474404	74764	39.76	0.086006	-100
474614	74760	39.8	0.084991	-100
474874	74790	39.84	0.084691	-100
475024	74806	39.88	0.084483	-100
475231	74805	39.92	0.083564	-100
475319	74798	39.96	0.082994	-100
475306	74781	40	0.082585	-100
475636	74795	40.04	0.081547	-100
475856	74801	40.08	0.080765	-100
476185	74812	40.12	0.079652	-100
475988	74780	40.16	0.079623	-100
475904	74770	40.2	0.079711	-100
476229	74777	40.23	0.078506	-100
476596	74818	40.27	0.078051	-100
476508	74767	40.31	0.077034	-100
477204	74856	40.35	0.076481	-100
476824	74796	40.39	0.076471	-100
476920	74774	40.43	0.075457	-100
476934	74798	40.47	0.076053	-100
476777	74791	40.51	0.076536	-100
477211	74805	40.55	0.075057	-100
477133	74780	40.58	0.074707	-100
477464	74783	40.63	0.07337	-100
477563	74768	40.67	0.072536	-100
477546	74775	40.71	0.0728	-100
477721	74821	40.75	0.073309	-100
477694	74802	40.79	0.072905	-100
477636	74789	40.83	0.072798	-100
477488	74780	40.87	0.073186	-100
