Sample	 Source	 Position	 Fraction Number	 Absorbance
445944	74702	33.43	-100	0.210893
445928	74682	33.47	-100	0.210418
446399	74731	33.51	-100	0.2096
446799	74686	33.55	-100	0.206535
447837	74663	33.59	-100	0.201157
448342	74680	33.63	-100	0.199317
448540	74721	33.67	-100	0.199537
448520	74681	33.7	-100	0.198532
449189	74670	33.75	-100	0.195181
449493	74652	33.78	-100	0.193304
450171	74721	33.83	-100	0.19211
450128	74701	33.86	-100	0.191758
450694	74727	33.9	-100	0.189898
451144	74690	33.94	-100	0.186843
451515	74687	33.98	-100	0.185079
451358	74695	34.02	-100	0.18601
450981	74663	34.06	-100	0.186843
451556	74687	34.1	-100	0.184893
452253	74656	34.14	-100	0.180888
